key,title,authors_short,year,venue,venue_type,category,subcategory,code_url,arxiv_id,in_bib,benchmarked,notes
Li2016,Structural Information and Dynamical Complexity of Networks,Li et al.,2016,IEEE Trans. Inf. Theory,journal,theory,foundation,,,yes,no,Seminal SE paper
Li2018,Structure Entropy and Resistor Graphs,Li et al.,2018,arXiv,preprint,theory,foundation,,1801.03404,yes,no,
li2024book,Science of Artificial Intelligence: Mathematical Principles,Li,2024,(Book),book,theory,foundation,,,yes,no,ISPAI book
li2015strategiesForsecurity,Strategies for network security,Li et al.,2015,Science China Inf. Sci.,journal,theory,foundation,,,yes,no,
li2016securitytheory,A theory of network security: Principles of natural selection,Li et al.,2016,Internet Mathematics,journal,theory,foundation,,,yes,no,
yang2024incremental,Incremental measurement of structural entropy for dynamic graphs,Yang et al.,2024,Artificial Intelligence,journal,theory,extension,,,yes,no,Dynamic graph incremental SE
cao2024multi,Multi-Relational Structural Entropy,Cao et al.,2024,UAI,conference,theory,extension,,,yes,no,Multi-relational extension
yaopan2019flowDirected,Flow-based clustering on directed graphs: A structural entropy approach,Yao & Pan,2019,IEEE Access,journal,theory,extension,,,yes,no,Directed SE
wxb2024rwedirected,RWE: A Random Walk Based Graph Entropy for Structural Complexity,Wu et al.,2024,IEEE TNSE,journal,theory,extension,,,yes,no,Directed SE; connection to VNE
wxb2023findingThesource,Finding the source in networks: an approach based on structural information (ITE),Wu et al.,2023,ACM TOIT,journal,theory,extension,,,yes,no,Infected-tree entropy
huang2024structuralProbCoding,Structural Entropy Guided Probabilistic Coding,Huang et al.,2025,AAAI,conference,theory,extension,,,yes,no,key year=2024; AAAI 2025
liu2022similaritygap,On the similarity between von Neumann graph entropy and structural entropy,Liu et al.,2022,IEEE Trans. Inf. Theory,journal,theory,extension,,,yes,no,VNE–SE gap theorem
ljm2021improvingTogetherness,Improving togetherness using structural entropy,Li et al.,2021,MobiCASE,conference,theory,extension,,,yes,no,Togetherness metric
shannon1948mathematical,A mathematical theory of communication,Shannon,1948,Bell System Tech. J.,journal,misc,related-theory,,,yes,no,
tishby2000information,The information bottleneck method,Tishby et al.,2000,Allerton,conference,misc,related-theory,,0004057,yes,no,
rissanen1978modeling,Modeling by shortest data description (MDL),Rissanen,1978,Automatica,journal,misc,related-theory,,,yes,no,
dasgupta2016cost,A cost function for similarity-based hierarchical clustering,Dasgupta,2016,STOC,conference,misc,related-theory,,,yes,no,
fortunato2010community,Community detection in graphs,Fortunato,2010,Physics Reports,journal,misc,related-theory,,,yes,no,Community detection survey; cited for topology/ground-truth mismatch
traag2019leiden,From Louvain to Leiden: guaranteeing well-connected communities,Traag et al.,2019,Scientific Reports,journal,misc,baseline,,,yes,no,Leiden community detection baseline
